ID;Region;Nombre_Musculo;Origen;Insercion;Inervacion;Accion;Palpacion_Clinica;Patologia_Asociada;Tecnica_Manual_Sugerida;Agente_Sugerido;Pagina_Netter;Prioridad_BRI;Dato_Clinico_Clave;Ejercicio_Fortalecimiento;Estiramiento_Sugerido
1;Cuello;Esternocleidomastoideo;Manubrio del esternon y tercio medial de clavicula;Apofisis mastoides del temporal;Nervio Accesorio (XI);Inclinacion ipsilateral y rotacion contralateral;Borde lateral del cuello debajo de la oreja;Torticolis y puntos gatillo;Masaje de liberacion miofascial;TENS;31;Rojo;Si duermo mal y me acorto de un lado, te causo la famosa 'tortícolis'.;Inclinaciones isométricas de cuello (resistencia con la mano);Inclinación contralateral y rotación ipsilateral suave.
2;Hombro;Supraespinoso;Fosa supraespinosa de la escapula;Troquiter (tubérculo mayor) del humero;Nervio Supraescapular;Inicia la abduccion del brazo (0-15 grados);Profundo al acromion;Tendinitis del manguito rotador;Masaje transverso profundo (Cyriax);Magnetoterapia;415;Rojo;"Arranco la abducción de tu brazo; me desgarro mucho en el manguito rotador.";Abducción con banda elástica (primeros 15-30 grados);Aducción del brazo por detrás de la espalda.
3;Hombro;Deltoides (Fibras Medias);Acromion de la escapula;Tuberosidad deltoidea del humero;Nervio Axilar (C5-C6);Abduccion del brazo hasta 90 grados;Cara lateral del hombro;Bursitis subacromial;Masaje de descarga muscular;Ultrasonido;413;Verde;Hago que tu hombro se vea ancho y alzo tu brazo a 90 grados.;Elevaciones laterales con mancuernas ligeras;Aducción horizontal del brazo (cruzar brazo al pecho).
4;Espalda;Trapecio (Fibras Superiores);Linea nucal superior y apofisis espinosas C1-C7;Tercio lateral de la clavicula y acromion;Nervio Accesorio (XI);Elevacion de la escapula;Cuerpo carnoso encima de la clavicula;Cervicalgia por tension;Amasamiento y compresion isquemica;Termoterapia;176;Rojo;Me tenso por estrés y te 'subo' los hombros a las orejas.;Encogimientos de hombros (Shrugs) con peso;Inclinación lateral del cuello con descenso del hombro.
5;Espalda;Dorsal Ancho;Apofisis espinosas T7-L5 y cresta iliaca;Suelo del surco intertuberculario del humero;Nervio Toracodorsal;Extension aduccion y rotacion interna del brazo;Borde inferior de la axila;Lumbalgia mecanica;Deslumbramiento longitudinal;Laserterapia;178;Ambar;Doy la espalda en 'V' a los nadadores y soy clave para trepar o jalar.;Jalón al pecho en polea o dominadas asistidas;Flexión de tronco lateral agarrado a una barra o marco.
6;Brazo;Biceps Braquial;Cabeza larga: tubérculo supraglenoideo. Cabeza corta: apofisis coracoides;Tuberosidad del radio;Nervio Musculocutaneo;Flexion de codo y supinacion de antebrazo;Cara anterior del brazo;Tendinitis bicipital;Friccion profunda;Corrientes Galvánicas;421;Verde;Saco el 'punche', pero mi tendón de la cabeza larga suele inflamarse mucho.;Curl de bíceps con banda de resistencia;Extensión de codo con supinación (mano en pared).
7;Brazo;Triceps Braquial;Cabeza larga: tubérculo infraglenoideo. Cabeza lateral y medial: cara posterior humero;Olecranon del cúbito;Nervio Radial;Extension de codo;Cara posterior del brazo;Codo de tenista (asociado);Estiramiento pasivo;Crioterapia;422;Verde;"Evito que te tiemble el brazo al despedirte; extiendo tu codo con fuerza.";Extensiones en polea alta o fondos en silla;Flexión máxima de codo y hombro (mano a la escápula).
8;Antebrazo;Braquiorradial;Cresta supracondílea lateral del humero;Apofisis estiloides del radio;Nervio Radial;Flexion de codo en posicion neutra;Borde externo del antebrazo;Sindrome del supinador largo;Masaje de friccion;TENS;435;Ambar;Te ayudo a doblar el codo justo cuando agarras una jarra de cerveza.;Ejercicios isométricos progresivos y bandas elásticas;Extensión de codo con pronación y flexión de muñeca.
9;Pecho;Pectoral Mayor;Clavicula esternon y cartílagos costales 1-6;Labio lateral del surco intertuberculario;Nervios pectorales medial y lateral;Aduccion y rotacion interna del brazo;Pared anterior de la axila;Acortamiento de cadena anterior;Estiramiento y bombeo;Ultrasonido;187;Rojo;"Abrazo y empujo; soy el que más trabajas al hacer flexiones de pecho.";Aperturas con mancuernas o flexiones de pecho (Push-ups);Abducción de hombro en marco de puerta (codos a 90°).
10;Tronco;Recto Abdominal;Sinfisis y cresta del pubis;Apofisis xifoides y cartílagos costales 5-7;Nervios espinales T7-T12;Flexion del tronco (columna vertebral);Cara anterior del abdomen;Pubalgia;Masaje circular suave;Magnetoterapia;251;Rojo;Formo las 'chocolatinas' (six-pack) si tu porcentaje de grasa es bajo.;Plancha abdominal (Plank) o Crunches controlados;Postura de 'Cobra' (extensión de tronco).
11;Cadera;Gluteo Mayor;Cara posterior del sacro e ilion;Tracto iliotibial y tuberosidad glutea del femur;Nervio Gluteo Inferior;Extension y rotacion externa de cadera;Region glutea central;Sindrome del piramidal (asociado);Compresion y amasamiento;Ondas de Choque;494;Rojo;"Soy el músculo más voluminoso; te doy la potencia para subir escaleras.";Puente de glúteo (Hip thrust) con banda;Flexión de cadera hacia el pecho (rodilla al hombro opuesto).
12;Muslo;Cuadriceps (Recto Femoral);Espina iliaca anteroinferior;Base de la rotula y tuberosidad de la tibia;Nervio Femoral;Extension de rodilla y flexion de cadera;Cara anterior del muslo;Desgarro muscular;Masaje de recuperacion;Corrientes Rusas;502;Rojo;Soy el responsable de dar el gran 'chutazo' al patear un balón de fútbol.;Extensiones de rodilla en máquina o sentadillas isométricas;Flexión de rodilla con extensión de cadera (talón al glúteo).
13;Pierna;Gastrocnemio (Gemelos);Condilos lateral y medial del femur;Cara posterior del calcaneo (tendon de Aquiles);Nervio Tibial;Flexion plantar del pie y flexion de rodilla;Pantorrilla;Tendinitis aquilea;Liberacion de fascia plantar;Magnetoterapia;518;Rojo;Formo tus pantorrillas y te permito ponerte de puntillas.;Elevaciones de talón de pie (Calf raises);Dorsiflexión de tobillo con rodilla extendida.
14;Cabeza;Occipitofrontal;Aponeurosis epicraneal;Piel de las cejas y frente;Nervio Facial (VII);Eleva las cejas y arruga la frente;Palpable sobre el hueso frontal;Cefalea tensional;Masaje de friccion digital;Magnetoterapia;26;Ambar;Levanto tus cejas para poner cara de asombro o sorpresa.;Ejercicios isométricos progresivos y bandas elásticas;Estiramiento manual de la piel de la frente.
