ID_Termino;Termino_Clave;Definicion_Tecnica;Importancia_Clinica;Relacion_Anatomica;Terminos_Relacionados
D001;Sutura metopica;Vestigio de la union de las dos mitades del hueso frontal en la linea media.;No confundir con una fractura en radiografias infantiles.;Hueso Frontal;Linea interfrontal, Craneosinostosis, Cierre craneal prematuro
D002;Agujero magno;Gran apertura en la base del craneo para la conexion cerebro-medula.;Punto critico en patologias de compresion medular.;Hueso Occipital;Foramen occipital, Tallo cerebral, Base de craneo
D003;Apofisis mastoides;Proyeccion osea redondeada detras del conducto auditivo externo.;Punto de anclaje del musculo Esternocleidomastoideo (ECM).;Hueso Temporal;Hueso esponjoso temporal, Anclaje muscular cuello
D004;Apofisis Odontoides;Eminencia osea vertical que nace del cuerpo del Axis (C2).;Actua como pivote para la rotacion de la cabeza (C1-C2).;Hueso Axis;Diente del Axis, Articulacion atlantoaxoidea, Pivot cervical
D005;Angulo de Louis;Union palpable entre el manubrio y el cuerpo del esternon.;Referencia para localizar el 2do espacio intercostal.;Hueso Esternon;Angulo esternal, 2da costilla, Referencia toracica
D006;Corredera bicipital;Surco situado entre el troquin y el troquiter del humero.;Sitio frecuente de tendinitis del tendon largo del biceps.;Hueso Humero;Surco intertubercular, Tendon cabeza larga del biceps
D007;Sinfisis mentoniana;Linea de union fibrocartilaginosa en la mitad de la mandibula.;Punto de osificacion que da forma a la barbilla.;Hueso Mandibula;Union mandibular, Barbilla, Menton
D008;Apofisis xifoides;Porcion mas pequeña y distal del esternon.;Referencia vital para evitar lesiones durante la RCP.;Hueso Esternon;Punta del esternon, Cartilago esternal, Anclaje diafragma
D009;Vertebra prominente;Apofisis espinosa larga y no bifurcada de la cervical C7.;Punto de referencia para contar vertebras dorsales.;Hueso Cervical C7;Septima cervical, C7, Transicion cervicotoracica
D010;Linea aspera;Cresta rugosa en la cara posterior del cuerpo del femur.;Zona de insercion para musculos aductores y vastos.;Hueso Femur;Borde posterior del femur, Insercion de musculos aductores
D011;Tuberosidad tibial;Elevacion osea en la parte anterior y superior de la tibia.;Punto de insercion del ligamento rotuliano (Osgood-Schlatter).;Hueso Tibia;Insercion tendon rotuliano, Enfermedad Osgood-Schlatter
D012;Escotadura troclear;Cavidad en forma de C que se articula con la troclea humeral.;Permite el movimiento de bisagra puro del codo.;Hueso Cubito;Cavidad sigmoidea mayor, Articulacion humerocubital, Codo
D013;Bregma;Punto anatomico donde se unen las suturas sagital y coronal.;Zona de la fontanela anterior en lactantes.;Hueso Parietal / Frontal;Fontanela anterior, Union coronal y sagital
D014;Troquiter;Tuberosidad mayor del humero situada lateral al cuello.;Punto de insercion para musculos del manguito rotador.;Hueso Humero;Tuberculo mayor del humero, Insercion del manguito rotador
D015;Eminencia parietal;Zona de mayor convexidad en el centro del hueso parietal.;Punto de referencia para medir el diametro craneal.;Hueso Parietal;Boveda craneal, Zona lateral del craneo, Giba parietal
D016;Glabela;Area lisa y ligeramente elevada entre los arcos superciliares.;Punto de referencia craneometrico clave.;Hueso Frontal;Entrecejo, Prominencia frontal inferior
D017;Apofisis estiloides;Proyeccion delgada en forma de punzon en diversos huesos.;Punto de anclaje para ligamentos y musculos pequeños.;Hueso Temporal / Radio / Cubito;Anclaje de ligamentos, Hueso temporal, Muñeca distal
D018;Escotadura ciatica;Muesca en el hueso coxal para el paso de estructuras nerviosas.;Zona de paso vital para el nervio ciatico.;Hueso Ilion;Paso del nervio ciatico, Pelvis posterior, Isquion
D019;Maleolo;Prominencia osea situada en los extremos de la tibia y perone.;Puntos de referencia para evaluar estabilidad del tobillo.;Hueso Tibia / Perone;Tobillo interno y externo, Extremo tibial, Extremo peroneo
D020;Fontanelas;Espacios membranosos entre los huesos del craneo del neonato.;Permiten la compresion del craneo durante el parto.;Craneo (Varios);Mollera, Suturas craneales neonatales blandas
D021;Edema;Acumulacion de liquido en el espacio intersticial de los tejidos.;Signo clave en inflamacion y lesiones traumaticas.;Sistema Circulatorio / Linfatico;Hinchazon, Retencion de liquidos, Inflamacion tisular
D022;Isquemia;Detencion o disminucion de la circulacion de sangre en una arteria.;Puede causar muerte del tejido si no se trata a tiempo.;Sistema Cardiovascular;Hipoxia, Falta de riego sanguineo, Estrangulamiento vascular
D023;Atrofia Muscular;Disminucion del tamaño y masa del musculo por falta de uso o lesion.;Comun en pacientes tras periodos largos de inmovilizacion.;Sistema Muscular;Perdida de masa, Debilidad muscular por desuso o neurogena
D024;Efecto Piezoelectrico;Propiedad de ciertos cristales de generar electricidad al ser deformados.;Base del funcionamiento del Ultrasonido terapeutico.;Agentes Fisicos;Cristales de cuarzo, Ondas sonoras, Base de Ultrasonido Terapeutico
D025;Impedancia;Resistencia que opone el cuerpo al paso de una corriente electrica.;La grasa tiene mayor impedancia que el musculo.;Agentes Fisicos;Resistencia electrica tisular, Electrodos, Electroterapia
D026;Cavitation;Formacion de burbujas de gas en los tejidos por accion del ultrasonido.;Efecto mecanico no termico que ayuda a la reparacion celular.;Agentes Fisicos;Formacion de burbujas, Ultrasonido no termico, Micro-masaje
D027;Parestesia;Sensacion de hormigueo o adormecimiento en una parte del cuerpo.;Indica compresion o lesion de un nervio periferico.;Sistema Nervioso;Hormigueo, Adormecimiento, Daño a nervio periferico
D028;Crioterapia;Uso terapeutico del frio para reducir inflamacion y dolor.;Eficaz en las primeras 48-72 horas post-lesion (fase aguda).;Agentes Fisicos;Terapia con hielo, Analgesia aguda, Vasoconstriccion
D029;Magnetoterapia;Tratamiento mediante campos magneticos de baja frecuencia.;Acelera la consolidacion osea en fracturas.;Agentes Fisicos;Campos electromagneticos pulsados, Consolidacion de fracturas
D030;Escoliosis;Desviacion lateral de la columna vertebral en forma de S o C.;Requiere evaluacion radiologica y fortalecimiento especifico.;Sistema Esqueletico;Curvatura espinal lateral, Deformidad toracica tridimensional
D031;TENS;Estimulacion Nerviosa Electrica Transcutanea para analgesia.;Bloquea la señal de dolor mediante la teoria de la compuerta.;Agentes Fisicos;Electroterapia, Corriente analgesica, Teoria compuerta del dolor
D032;Propiocepcion;Capacidad del cerebro de saber la posicion exacta de las partes del cuerpo.;Fundamental en la rehabilitacion de esguinces.;Sistema Sensorial;Equilibrio, Conciencia articular, Reeducacion neuromuscular
D033;Goniometria;Tecnica de medicion de los angulos creados por la interseccion de los ejes longitudinales de los huesos a nivel de las articulaciones.;Permite cuantificar de manera objetiva los rangos de movimiento (ROM) y el progreso del paciente.;Sistema Osteoarticular;Arco de movimiento, Goniometro, Evaluacion funcional
D034;Isquemia;Detencion o disminucion del flujo de sangre oxigenada a un organo o tejido.;Puede causar necrosis si es prolongada; crucial en patologias compresivas.;Sistema Circulatorio
