ID;Nombre_Tecnica;Descripcion;Contraindicaciones;Indicacion_Principal;Ritmo_y_Profundidad;Efecto_Fisiologico
M001;Roce Superficial (Effleurage);Movimiento de deslizamiento continuo y suave sobre la piel sin desplazar los tejidos subyacentes.;Heridas abiertas, quemaduras recientes, infecciones cutaneas agudas, trombosis venosa superficial.;Inicio y cierre de sesión, insomnio, estrés agudo.;Lento, rítmico y muy superficial.;Sedación del sistema nervioso simpático, descamación epidérmica leve.
M002;Amasamiento (Petrissage);Compresión y liberación rítmica del vientre muscular. Se levanta, exprime y amasa el tejido.;Desgarros musculares agudos (fase inflamatoria), trombosis venosa profunda (TVP), tumores malignos locales.;Contracturas musculares, fatiga post-esfuerzo, atrofia muscular leve.;Ritmo medio, profundidad moderada a alta.;Efecto de 'esponja' (vacía la sangre venosa y atrae sangre arterial fresca).
M003;Fricción Transversa Profunda (Cyriax);Maniobra profunda aplicada transversalmente a las fibras de un tendón o ligamento lesionado.;Inflamación aguda bacteriana, calcificaciones, bursitis aguda, lesiones nerviosas puras.;Tendinopatías crónicas, esguinces subagudos, adherencias ligamentosas.;Ritmo medio-rápido, muy profundo (hasta umbral del dolor).;Analgesia por contrainrritación, lisis de adherencias, hiperemia local activa.
M004;Percusión (Tapotement);Golpeteos rítmicos, intermitentes y rápidos utilizando los bordes cubitales, palmas o puños.;Espasmos musculares severos, osteoporosis avanzada, fracturas de costillas, zona renal.;Apatía muscular, preparación deportiva, retención de secreciones bronquiales.;Muy rápido, vigoroso y rítmico.;Estimulación de husos musculares (aumenta el tono), vasodilatación masiva.
M005;Vibración;Movimientos oscilatorios rápidos y de pequeña amplitud transmitidos a través de las manos.;Fracturas recientes no consolidadas, procesos inflamatorios muy agudos.;Neuralgias, espasticidad neurológica leve, dolores articulares difusos.;Frecuencia muy alta, presión ligera a media.;Inhibición de las vías del dolor (Teoría compuerta), relajación muscular profunda.
M006;Drenaje Linfático Manual (Vodder);Maniobras suaves y rítmicas que estiran la piel para abrir los capilares linfáticos.;Cáncer activo, infecciones agudas (celulitis), trombosis, flebitis, insuficiencia cardíaca.;Linfedemas, edemas post-quirúrgicos, piernas cansadas, hematomas.;Extremadamente lento (1 maniobra/seg), superficial (< 40 mmHg).;Apertura de esfínteres linfáticos, estimulación del sistema parasimpático.
M007;Compresión Isquémica (Puntos Gatillo);Presión profunda, localizada y sostenida sobre una banda tensa o punto gatillo miofascial.;Pacientes sin tolerancia al dolor, uso de anticoagulantes, fragilidad capilar extrema.;Síndrome de dolor miofascial, cefaleas tensionales, puntos gatillo activos.;Sostenida por 30-90 segundos, muy profunda.;Isquemia temporal seguida de hiperemia reactiva aguda, lavado de sustancia P.
M008;Liberación Miofascial;Tracción y estiramiento tridimensional, suave y sostenido de la fascia.;Aneurismas, suturas recientes, fracturas no consolidadas, heridas cutáneas abiertas.;Rigidez postural crónica, cicatrices retráctiles, fibromialgia.;Lenta, sostenida de 3-5 minutos por restricción, profundidad variable.;Tixotropía (cambio de gel a líquido en la fascia), restauración del deslizamiento.
M009;Fricción Circular Superficial;Movimientos circulares que movilizan la piel sobre el tejido celular subcutáneo.;Infecciones locales, cicatrices no cerradas, injertos de piel recientes.;Cicatrices hipertróficas antiguas, preparación pre-inyección.;Ritmo medio, presión media (rotar piel sobre hueso).;Despegamiento de planos fasciales superficiales, mejora de elasticidad cutánea.
M010;Fricción Palmar de Descarga;Deslizamiento profundo utilizando la base de la palma siguiendo el trayecto venoso.;Roturas fibrilares recientes, heridas sangrantes, procesos febriles, trombosis venosa.;Fatiga extrema post-competición (recovery), sobrecarga muscular deportiva.;Lento a medio, profundo y en dirección centrípeta (al corazón).;Drenaje de catabolitos (ácido láctico), reducción de DOMS (agujetas).
M011;Pinzado Rodado (Pincé-Roulé);Toma de un pliegue de piel y tejido subcutáneo que se hace rodar entre los dedos.;Pieles atróficas, paniculitis aguda, celulitis infecciosa, hematomas recientes.;Adherencias cutáneas, celulitis estética, cicatrices adheridas al plano profundo.;Lento y continuo, presión de tracción hacia afuera.;Ruptura de microadherencias en la hipodermis, hiperemia masiva local.
M012;Masaje Deportivo Pre-Competencia;Conjunto de maniobras rápidas aplicadas 15-45 minutos antes del evento deportivo.;Lesiones musculares recientes, deportista con estrés o ansiedad extrema.;Calentamiento pasivo, prevención de desgarros inmediatos.;Ritmo muy rápido, superficial a medio (no debe generar dolor).;Aumento de temperatura local, activación del tono muscular de base.
M013;Masaje Deportivo Post-Competencia;Maniobras de drenaje y amasamiento suave realizadas dentro de las 2 horas post-esfuerzo.;Calambres activos (espasmo fulminante), sospecha de rotura fibrilar aguda.;Recuperación acelerada, hipertonía post-esfuerzo.;Lento y progresivo, profundidad superficial a media.;Barrido de metabolitos, reducción del espasmo protector post-ejercicio.
M014;Amasamiento Nudillar;Amasamiento realizado con los nudillos para aplicar mayor presión en masas densas.;Zonas óseas prominentes, fragilidad capilar, paciente geriátrico frágil.;Lumbalgias mecánicas severas, contracturas en isquiotibiales o glúteos.;Ritmo lento, presión muy profunda.;Alcance a capas musculares profundas (Multífidos, Glúteo Medio).
M015;Técnica de Jones (Strain-Counterstrain);Llevar el segmento a acortamiento máximo del músculo doloroso y mantenerlo 90 seg para 'resetear' el huso.;Problemas articulares estructurales que impidan el rango de movimiento necesario.;Espasmos agudos, tortícolis severa donde el masaje tradicional es intolerable.;Estático, sin presión dolorosa, durante 90 segundos.;Reducción abrupta de la descarga nerviosa gamma, relajación refleja del espasmo.
