ID;Nombre_Patologia;Region;Huesos_Implicados;Musculos_Implicados;Tipo_Dolor_Zona;Agente_Fisico_Sugerido;Parametros_Hz_us;Ubicacion_Electrodos;Objetivo_Fisiologico;Tecnica_Manual;Ejercicio_Activo;Sintoma_Alarma_Red_Flag;Logica_Combinacion;Tiempo_Recuperacion;Criterios_de_Alta;
P001;Cervicalgia Tensional;Cuello y Espalda;Vertebras C1-C7, Occipital;Trapecio, ECOM, Esplenio;Dolor sordo y pesadez en nuca y hombros;Termoterapia + TENS Convencional;TENS: 80-100 Hz, 50-100 us;Bilateral sobre vientres del trapecio superior;Gate Control (bloqueo dolor) y vasodilatacion;Masoterapia descontracturante;Estiramientos laterales y retraccion cervical;Dolor irradiado al brazo como corriente (Radiculopatia);El calor prepara el tejido, el TENS alivia dolor agudo para permitir terapia manual;2 a 4 semanas;Rango completo sin dolor, EVA < 2;
P002;Sindrome del Piramidal;Cadera/Pelvis;Sacro, Femur (Trocanter Mayor);Piramidal, Gluteo Mayor;Dolor punzante profundo en gluteo irradiado a pierna;US Pulsatil + TENS Burst;US: 1MHz, 20%, 1.2 W/cm2 / TENS: 2-4 Hz, 200 us;Punto gatillo en piramidal y recorrido ciatico;Romper espasmo profundo y analgesia por endorfinas;Liberacion miofascial manual;Estiramiento de piramidal en supino;Perdida de fuerza real en pie o incontinencia;Reducir hipertono antes de elongar para no irritar el nervio ciatico;3 a 5 semanas;Ausencia de dolor irradiado, Test de Piramidal negativo;
P003;Tendinopatia del Manguito Rotador;Hombro;Humero, Escapula, Clavicula;Supraespinoso, Infraespinoso;Dolor lateral agudo, arco doloroso (60-120 grados);US Continuo + TENS Acupuntura;US: 3MHz, 100%, 0.8 W/cm2 / TENS: 2-10 Hz;Polo positivo en insercion del tendon, negativo en vientre;Estimular fibroblastos y analgesia profunda;Masaje Cyriax en tendon;Isometria de rotacion externa y pendulares;Imposibilidad total de elevar el brazo (Desgarro masivo);Tratar inflamacion tendinosa antes de someter al hombro a carga mecanica;4 a 8 semanas;Fuerza 5/5, sin dolor nocturno, abduccion completa;
P004;Lumbalgia Mecanica;Espalda Baja;Vertebras L1-L5, Sacro;Cuadrado Lumbar, Paravertebrales;Dolor en banda horizontal, rigidez matutina;Corrientes Interferenciales + Calor;CFI: Portadora 4000 Hz, AMF 80-100 Hz;Tetrapolar cruzado sobre espasmo lumbar;Analgesia profunda y bombeo muscular;Masaje terapeutico profundo;Ejercicios de estabilizacion Core (Planchas);Perdida de peso inexplicable o fiebre (Infeccion/Tumor);La interferencial llega mas profundo que TENS, ideal para la gran masa lumbar;3 a 6 semanas;Core estable, flexion de tronco indolora;
P005;Epicondilitis Lateral (Codo de Tenista);Codo;Humero (Epicondilo), Radio;Extensores del carpo, Supinador;Dolor punzante en cara externa del codo al agarrar;US Pulsatil + Crioterapia;US: 3MHz, 20%, 1.0 W/cm2;Aplicacion directa sobre epicondilo lateral;Reducir inflamacion y promover cicatrizacion;Friccion transversa profunda;Estiramientos de extensores y trabajo excentrico;Dolor irradiado severo por el antebrazo sin ceder al reposo;Controlar inflamacion aguda con hielo y remodelar colageno con US;4 a 8 semanas;Agarre fuerte indoloro, Test de Cozen negativo;
P006;Tendinopatia Patelar;Rodilla;Rotula, Tibia, Femur;Cuadriceps (Recto femoral);Dolor localizado en el polo inferior de la rotula;Laser de Baja Potencia (LLLT);Dosis de 4-6 J/cm2 por punto;Puntos alrededor del tendon rotuliano;Bioestimulacion celular y aumento de ATP;Liberacion miofascial de cuadriceps;Sentadillas excentricas en plano inclinado;Incapacidad para extender la rodilla contra gravedad (Rotura tendinosa);El laser repara sin irritar termicamente el tendon superficial;6 arbitration 12 semanas;Salto sin dolor, sentadilla profunda asintomatica;
P007;Esguince de Tobillo (Grado II);Tobillo/Pie;Astragalo, Perone;Peroneos, Tibial anterior;Dolor agudo externo, edema y limitacion de carga;US Pulsatil + Corriente High Volt;US: 3MHz, 20% / High Volt: 100-120 Hz;Catodo sobre el edema para rechazo de proteinas;Reduccion rapida de edema y control de dolor;Drenaje Linfatico Manual;Propiocepcion en inestable y ROM activo;Incapacidad de dar 4 pasos seguidos (Regla de Ottawa - Posible fractura);Evitar calor, usar High Volt para drenar y US para sanar ligamento;3 a 6 semanas;Marcha normal, propiocepcion equilibrada, sin edema;
P008;Fascitis Plantar;Tobillo/Pie;Calcaneo, Metatarsos;Fascia plantar, Triceps sural;Dolor punzante en el talon al dar primeros pasos;Terapia de Ondas de Choque o US Continuo;US: 3MHz, 100%, 1.0 W/cm2;Insercion de la fascia en el calcaneo;Aumentar extensibilidad y romper tejido cicatricial;Masaje con hielo, Liberacion de gemelos;Estiramiento de fascia plantar y gemelos;Dolor nocturno constante o bilateral simultaneo;Relajar cadena posterior es vital porque tracciona la fascia indirectamente;4 a 10 semanas;Pasos matutinos sin dolor, marcha completa sin molestia;
P009;Capsulitis Adhesiva;Hombro;Escapula, Humero;Manguito rotador, Deltoides;Dolor sordo y restriccion severa de todos los movimientos;Diatermia o Calor Profundo + TENS;TENS: 80-100 Hz (fase aguda);Perimetral en articulacion glenohumeral;Flexibilizar colageno capsular y reducir dolor;Movilizacion articular (Maitland) grados I-IV;Caminata de dedos en pared, Ejercicios con pica;Sospecha de luxacion no reducida o fractura;Indispensable calentar profundamente la capsula antes de elongarla;3 a 9 meses;Aumento del >50% de rotacion externa, sin dolor en reposo;
P010;Hernia Discal Lumbar (L4-L5);Espalda Baja;Vertebras L4-L5, Sacro;Paravertebrales, Psoas;Dolor irradiado por la pierna (ciatica) y parestesias;Traccion Lumbar + TENS Burst;TENS: 2-4 Hz, 200 us;A lo largo del dermatoma afectado (gluteo a pie);Descompresion discal y neuromodulacion;Metodo McKenzie (Extensiones);Estabilizacion central (Core) sin flexion;Incontinencia de esfinteres o anestesia en silla de montar (Urgencia medica);Fomentar centralizacion del dolor hacia lumbar con extensiones;6 a 12 semanas;Ausencia de ciatica, reflejos normales, Test de Lasegue negativo;
