ID;Region;Nombre_Hueso;Cara;Accidentes_Oseos;Musculos_Relacionados;Funcion_Bio;Articulaciones_Clave;Agente_Fisico;Referencia_Netter;Referencia_Colorear;Link_PDF_Carrion;Puntos_Clave_Palpacion;Terminologia_Tecnica;Prioridad_BRI;Accion_Sugerida;Pista_Trivia;Riesgo_Fractura
H001;Cráneo;Frontal;Anterior;Glabela, Arcos superciliares;Corrugador superciliar;Protección anterior del lóbulo frontal;Sutura coronal;Magnetoterapia;Lámina 4;Lámina 2-2;C04_Anatomia_Clase1.pdf;Borde supraorbitario;Sutura metópica;Verde;Evaluar senos frontales;Protejo tu lóbulo frontal y formo tu frente.;Riesgo GRAVE (Traumatismos TEC)
H002;Cráneo;Parietal Derecho;Lateral;Líneas temporales;Músculo temporal;Protección lateral del cerebro;Sutura sagital y coronal;Ultrasonido;Lámina 6;Lámina 2-2;C04_Anatomia_Clase1.pdf;Eminencia parietal;Fontanela bregmática;Verde;Palpación de calota;Formo el techo derecho de tu cráneo.;Riesgo GRAVE (TEC)
H003;Cráneo;Parietal Izquierdo;Lateral;Líneas temporales;Músculo temporal;Protección lateral del cerebro;Sutura sagital y coronal;Ultrasonido;Lámina 6;Lámina 2-2;C04_Anatomia_Clase1.pdf;Eminencia parietal;Fontanela bregmática;Verde;Palpación de calota;Formo el techo izquierdo de tu cráneo.;Riesgo GRAVE (TEC)
H004;Cráneo;Temporal Derecho;Lateral;Apófisis mastoides, Apófisis estiloides;Esternocleidomastoideo;Audición, Equilibrio;ATM (Art. Temporomandibular);Láser;Lámina 8;Lámina 2-3;C04_Anatomia_Clase1.pdf;Apófisis mastoides;Porción petrosa;Rojo;Evaluar dolor ATM;Guardo tu oído derecho.;Riesgo GRAVE (Fractura base de cráneo)
H005;Cráneo;Temporal Izquierdo;Lateral;Apófisis mastoides, Apófisis estiloides;Esternocleidomastoideo;Audición, Equilibrio;ATM (Art. Temporomandibular);Láser;Lámina 8;Lámina 2-3;C04_Anatomia_Clase1.pdf;Apófisis mastoides;Porción petrosa;Rojo;Evaluar dolor ATM;Guardo tu oído izquierdo.;Riesgo GRAVE (Fractura base de cráneo)
H006;Cráneo;Occipital;Posterior;Agujero Magno, Cóndilos;Suboccipitales, Trapecio;Conexión craneocervical, visión;Atlanto-occipital (C0-C1);TENS;Lámina 10;Lámina 2-4;C04_Anatomia_Clase1.pdf;Inión (Protuberancia externa);Agujero Magno;Ámbar;Liberación suboccipital;Me articulo directamente con el atlas.;Riesgo GRAVE
H007;Cráneo;Esfenoides;Base;Silla turca, Alas mayores;Pterigoideos (origen);Soporte de glándula pituitaria;Sutura esfenoescamosa;Ninguno;Lámina 11;Lámina 2-5;C04_Anatomia_Clase1.pdf;Sien (Alas mayores);Silla turca;Ámbar;Terapia craneosacral;Tengo forma de murciélago o mariposa.;Riesgo GRAVE
H008;Cráneo;Etmoides;Interna;Crista galli, Lámina cribosa;Ninguno;Soporte de bulbo olfatorio;Sutura frontoetmoidal;Ninguno;Lámina 12;Lámina 2-6;C04_Anatomia_Clase1.pdf;Raíz nasal profunda;Cornetes superiores;Verde;Manejo de sinusitis;Separo tu cavidad nasal del cerebro.;Riesgo GRAVE (Fístula LCR)
H009;Cara;Maxilar Derecho;Facial;Apófisis alveolar;Masetero (parte);Masticación, Soporte facial;Articulación maxilodentaria;Ultrasonido;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Base nasal derecha;Viscerocráneo;Ámbar;Palpación facial;Sostengo tus dientes superiores derechos.;Riesgo MEDIO a ALTO
H010;Cara;Maxilar Izquierdo;Facial;Apófisis alveolar;Masetero (parte);Masticación, Soporte facial;Articulación maxilodentaria;Ultrasonido;Lámina 15;Lámina 2-7;C04_Anatomia.pdf;Base nasal izquierda;Viscerocráneo;Ámbar;Palpación facial;Sostengo tus dientes superiores izquierdos.;Riesgo MEDIO a ALTO
